len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
16146	1895	0.0	0.0	0.0	0.0078125	0.0014418328490237366	14251.0	14251.0	0.0	1009.125	14251.0	0.0	1009.125	14251.0	0.0	1009.125	14251.0	70.74901960784314	1000.3842054263566	14251.0	13.015436256388034	1007.5015840426277
17739	354	0.0	0.0	0.0	0.0078125	-0.004579658027365146	17385.0	17385.0	0.0	1108.6875	17385.0	0.0	1108.6875	17385.0	0.0	1108.6875	17385.0	70.95294117647059	1099.921511627907	17385.0	-41.33522574535994	1113.8900604909852
23191	3330	0.0	0.0	0.0	0.0078125	-0.0007155400100307082	19861.0	19861.0	0.0	1449.4375	19861.0	0.0	1449.4375	19861.0	0.0	1449.4375	19861.0	104.00392156862745	1436.5881782945737	19861.0	-9.485024845625617	1450.6244015634331
8094	10043	0.0	0.0	0.0	0.0078125	-0.0031221280512232497	5065.0	1948.9999999999998	0.0	627.6875	1948.9999999999998	0.0	627.6875	1948.9999999999998	0.0	627.6875	1948.9999999999998	71.12549019607843	618.9001937984497	1948.9999999999998	-28.268888687344205	631.2377114939578
2154	5881	0.0	0.0	0.0	0.0078125	0.0032067332260687035	3843.0	3727.0	0.0	367.5625	3727.0	0.0	367.5625	3727.0	0.0	367.5625	3727.0	31.50980392156863	363.66957364341084	3727.0	12.903740161889862	365.957266214549
18063	3559	0.0	0.0	0.0	0.0078125	-0.00025216407912429135	14504.0	14504.0	0.0	1128.9375	14504.0	0.0	1128.9375	14504.0	0.0	1128.9375	14504.0	84.79215686274509	1118.4617248062016	14504.0	-2.7258021847138223	1129.278354183608
22281	5655	3.583844031107766e-05	0.0	0.0	0.0078125	-0.001271790807840461	16630.0	16626.0	0.5006003046322015	1392.499928325688	16626.0	0.0	1392.5625	16626.0	0.0	1392.5625	16626.0	109.55294117647058	1379.0276162790697	16626.0	-17.75308489882299	1394.7858744176363
2319	16286	0.0	0.0	0.0	0.0078125	0.0047836889641810374	13967.0	13967.0	0.0	1017.875	13967.0	0.0	1017.875	13967.0	0.0	1017.875	13967.0	72.96078431372548	1008.8609496124031	13967.0	44.606959499235174	1012.338949420401
28266	5451	0.0	0.0	0.0	0.0078125	0.0015076716999666425	22815.0	22815.0	0.0	1766.625	22815.0	0.0	1766.625	22815.0	0.0	1766.625	22815.0	132.2235294117647	1750.2892441860465	22815.0	25.43625811714578	1763.4526474469305
7677	14784	0.0	0.0	0.0	0.0078125	0.002517188313067813	8418.0	7107.0	0.0	924.0	7107.0	0.0	924.0	7107.0	0.0	924.0	7107.0	88.08235294117647	913.1177325581396	7107.0	28.304907741392622	920.4752121360785
